Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Attachment,Custom field (Approval),Custom field (Approvals),Custom field (Budget),Custom field (Category),Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Comment,Comment,Comment,Comment,Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Test reduced scale prototype for temperature accuracy and consistency,KDP-2089,23128,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,15/Apr/26 11:16 AM,21/Apr/26 7:04 AM,,21/Apr/26 7:04 AM,,0,,,,Anthony Pearson,,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@75172f7e,,,,,0|i00abm:x9,KDP Sprint 32,,,,,,,,,,,,,,,,,23053,KDP-2080,IR Decoy - D1 - Reduced Scale Prototype Tarp Manufactured with no electrical controls,Done,21/Apr/26 7:04 AM
Prepare single reduced scale prototype,KDP-2088,23126,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,15/Apr/26 11:16 AM,17/Apr/26 3:29 PM,,17/Apr/26 3:29 PM,,0,,,,Anthony Pearson,,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,,,,,,,,,,17/Apr/26 3:29 PM;f493f75c-5d6f-4b4f-bd88-1d47169a0120;FLIR1012.jpg;https://kenaidefense.atlassian.net/rest/api/3/attachment/content/12070,17/Apr/26 3:29 PM;f493f75c-5d6f-4b4f-bd88-1d47169a0120;FLIR1013.jpg;https://kenaidefense.atlassian.net/rest/api/3/attachment/content/12071,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@c5ba5ba,,,,,0|i00abm:xi,KDP Sprint 32,,,,,,,,,,,,,,,,,23053,KDP-2080,IR Decoy - D1 - Reduced Scale Prototype Tarp Manufactured with no electrical controls,Done,17/Apr/26 3:29 PM
🐢 Agentic AI for Defense,KDP-2087,23092,Task,In Progress,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,15/Apr/26 10:01 AM,27/Apr/26 9:45 AM,,,,0,,,,Jayden Zundel,,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@33f6af13,,,,,0|i00bwt:,KDP Sprint 32,KDP Sprint 33,,,,,,,,,,,,,,,,,,,In Progress,22/Apr/26 10:20 AM
Find new heat press,KDP-2079,23020,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Caleb Garnica,712020:925cddb1-7e5d-47d0-bbc8-76ea7a6d92b3,Caleb Garnica,712020:925cddb1-7e5d-47d0-bbc8-76ea7a6d92b3,Caleb Garnica,712020:925cddb1-7e5d-47d0-bbc8-76ea7a6d92b3,14/Apr/26 2:28 PM,23/Apr/26 10:19 AM,,23/Apr/26 10:19 AM,,0,,,,Caleb Garnica,,712020:925cddb1-7e5d-47d0-bbc8-76ea7a6d92b3,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@78dcec19,,,,,0|i00b80:,KDP Sprint 32,,,,,,,,,,,,,,,,,,,,Done,23/Apr/26 10:19 AM
🐢 Create timeline for ERDC IIB objective 3 (work with Bob),KDP-2078,22987,Task,In Progress,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,,Joshua Riley,712020:b37d4c48-1047-4e51-aa36-9f4735ff95c2,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,14/Apr/26 11:42 AM,27/Apr/26 9:45 AM,,,,0,,,,Kenai Defense,,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7f9acf08,,,,,0|i00bt6:,KDP Sprint 32,KDP Sprint 33,,,,,,,,,,,,,,,,,,,In Progress,14/Apr/26 12:38 PM
🐢 Create milestones for ERDC IIB objective 3 (work with Bob),KDP-2077,22986,Task,In Progress,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,,Joshua Riley,712020:b37d4c48-1047-4e51-aa36-9f4735ff95c2,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,14/Apr/26 11:42 AM,27/Apr/26 9:45 AM,,,,0,,,,Kenai Defense,,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3de27836,,,,,0|i00bt7:,KDP Sprint 32,KDP Sprint 33,,,,,,,,,,,,,,,,,,,In Progress,14/Apr/26 12:38 PM
🐢 Create timeline for ERDC IIB objective 2 (work with Tony),KDP-2076,22985,Task,In Progress,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,,Joshua Riley,712020:b37d4c48-1047-4e51-aa36-9f4735ff95c2,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,14/Apr/26 11:42 AM,27/Apr/26 9:45 AM,,,,0,,,,Kenai Defense,,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4b4ac404,,,,,0|i00bt5:,KDP Sprint 32,KDP Sprint 33,,,,,,,,,,,,,,,,,,,In Progress,14/Apr/26 12:38 PM
🐢 Create milestones for ERDC IIB objective 2 (work with Tony),KDP-2075,22984,Task,In Progress,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,,Joshua Riley,712020:b37d4c48-1047-4e51-aa36-9f4735ff95c2,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,14/Apr/26 11:41 AM,27/Apr/26 9:45 AM,,,,0,,,,Kenai Defense,,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@589a8be0,,,,,0|i00but:,KDP Sprint 32,KDP Sprint 33,,,,,,,,,,,,,,,,,,,In Progress,14/Apr/26 12:12 PM
🐢 Create timeline for ERDC IIB objective 1 (work with Bob),KDP-2074,22983,Task,In Progress,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,,Joshua Riley,712020:b37d4c48-1047-4e51-aa36-9f4735ff95c2,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,14/Apr/26 11:40 AM,27/Apr/26 9:45 AM,,,,0,,,,Kenai Defense,,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@a8f9abd,,,,,0|i00bul:,KDP Sprint 32,KDP Sprint 33,,,,,,,,,,,,,,,,,,,In Progress,14/Apr/26 12:12 PM
🐢 Create milestones for ERDC IIB objective 1 (work with Bob),KDP-2073,22982,Task,In Progress,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,,Joshua Riley,712020:b37d4c48-1047-4e51-aa36-9f4735ff95c2,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,14/Apr/26 11:40 AM,27/Apr/26 9:45 AM,,,,0,,,,Kenai Defense,,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@546946b4,,,,,0|i00bud:,KDP Sprint 32,KDP Sprint 33,,,,,,,,,,,,,,,,,,,In Progress,14/Apr/26 12:11 PM
