Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Attachment,Custom field (Approval),Custom field (Approvals),Custom field (Budget),Custom field (Category),Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Comment,Comment,Comment,Comment,Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
🐢 Create timeline for ERDC coatings development work (work with Tony),KDP-2072,22981,Task,In Progress,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,,Joshua Riley,712020:b37d4c48-1047-4e51-aa36-9f4735ff95c2,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,14/Apr/26 11:39 AM,27/Apr/26 9:45 AM,,,,0,,,,Kenai Defense,,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2afff66b,,,,,0|i00bu5:,KDP Sprint 32,KDP Sprint 33,,,,,,,,,,,,,,,,,,,In Progress,14/Apr/26 12:09 PM
🐢 Create milestones for ERDC coatings development work (work with Tony),KDP-2071,22980,Task,In Progress,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,,Joshua Riley,712020:b37d4c48-1047-4e51-aa36-9f4735ff95c2,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,14/Apr/26 11:39 AM,27/Apr/26 9:45 AM,,,,0,,,,Kenai Defense,,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1b37a54d,,,,,0|i00btx:,KDP Sprint 32,KDP Sprint 33,,,,,,,,,,,,,,,,,,,In Progress,14/Apr/26 12:09 PM
🐢 Create timeline for composite panel development project (work with Caleb),KDP-2070,22979,Task,In Progress,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,,Joshua Riley,712020:b37d4c48-1047-4e51-aa36-9f4735ff95c2,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,14/Apr/26 11:38 AM,27/Apr/26 9:45 AM,,,,0,,,,Kenai Defense,,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3a267fc0,,,,,0|i00btp:,KDP Sprint 32,KDP Sprint 33,,,,,,,,,,,,,,,,,,,In Progress,14/Apr/26 12:08 PM
🐢 Create milestones for composite panel development project (work with Caleb),KDP-2069,22978,Task,In Progress,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,,Joshua Riley,712020:b37d4c48-1047-4e51-aa36-9f4735ff95c2,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,14/Apr/26 11:38 AM,27/Apr/26 9:45 AM,,,,0,,,,Kenai Defense,,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@36038abc,,,,,0|i00bth:,KDP Sprint 32,KDP Sprint 33,,,,,,,,,,,,,,,,,,,In Progress,14/Apr/26 12:08 PM
Create timeline for CVD work (work with Fan),KDP-2068,22977,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Joshua Riley,712020:b37d4c48-1047-4e51-aa36-9f4735ff95c2,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,14/Apr/26 11:38 AM,23/Apr/26 5:44 PM,,23/Apr/26 5:44 PM,,0,,,,Kenai Defense,,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@56d9066f,,,,,0|i00bss:r,KDP Sprint 32,,,,,,,,,,,,,,,,,,,,Done,23/Apr/26 5:44 PM
Create milestones for CVD work (work with Fan),KDP-2067,22976,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Joshua Riley,712020:b37d4c48-1047-4e51-aa36-9f4735ff95c2,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,14/Apr/26 11:38 AM,23/Apr/26 5:44 PM,,23/Apr/26 5:44 PM,,0,,,,Kenai Defense,,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@729ce1,,,,,0|i00bss:i,KDP Sprint 32,,,,,,,,,,,,,,,,,,,,Done,23/Apr/26 5:44 PM
🐢 Create timeline for DC project (work with Fan),KDP-2066,22975,Task,In Progress,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,,Joshua Riley,712020:b37d4c48-1047-4e51-aa36-9f4735ff95c2,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,14/Apr/26 11:37 AM,27/Apr/26 9:45 AM,,,,0,,,,Kenai Defense,,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1481108d,,,,,0|i00bst:,KDP Sprint 32,KDP Sprint 33,,,,,,,,,,,,,,,,,,,In Progress,14/Apr/26 12:07 PM
🐢 Create milestones for DC project (work with Fan),KDP-2065,22974,Task,In Progress,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,,Joshua Riley,712020:b37d4c48-1047-4e51-aa36-9f4735ff95c2,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,14/Apr/26 11:36 AM,27/Apr/26 9:45 AM,,,,0,,,,Kenai Defense,,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4a6d85be,,,,,0|i00bsv:,KDP Sprint 32,KDP Sprint 33,,,,,,,,,,,,,,,,,,,In Progress,23/Apr/26 5:44 PM
ERDC IIB Kickoff,KDP-2064,22941,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,13/Apr/26 10:59 AM,14/Apr/26 9:07 AM,,14/Apr/26 9:07 AM,,0,,,,Jayden Zundel,,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3f228d3,,,,,0|i00bsd:,KDP Sprint 32,,,,,,,,,,,,,,,,,,,,Done,14/Apr/26 9:07 AM
Start creating formal Safety Program,KDP-2063,22940,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,13/Apr/26 10:53 AM,22/Apr/26 10:16 AM,,22/Apr/26 10:16 AM,,0,,,,Jayden Zundel,,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6011b56a,,,,,0|i00brv:,KDP Sprint 32,,,,,,,,,,,,,,,,,,,,Done,22/Apr/26 10:16 AM
Kevin onboarding,KDP-2059,22936,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,13/Apr/26 10:40 AM,14/Apr/26 1:08 PM,,14/Apr/26 1:08 PM,,0,,,,Jayden Zundel,,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@58f6a914,,,,,0|i00bsh:,KDP Sprint 32,,,,,,,,,,,,,,,,,,,,Done,14/Apr/26 1:08 PM
"Add ""ongoing"" task labels to prevent Carryover label",KDP-2058,22935,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,13/Apr/26 10:38 AM,16/Apr/26 10:58 AM,16/Apr/26 10:49 AM,16/Apr/26 10:58 AM,,0,ongoing,,,Jayden Zundel,,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7cc61fc4,,,,,0|i00bs9:,KDP Sprint 32,,,,,,,,,,,,,,,,,,,,Done,16/Apr/26 10:58 AM
Find POCs at primes for dynamic camo (work with Jerry),KDP-2057,22934,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Joshua Riley,712020:b37d4c48-1047-4e51-aa36-9f4735ff95c2,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,13/Apr/26 9:47 AM,22/Apr/26 7:00 PM,,22/Apr/26 7:00 PM,,0,,,,Kenai Defense,,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5668e4f4,,,,,0|i00bsr:,KDP Sprint 32,,,,,,,,,,,,,,,,,,,,Done,22/Apr/26 7:00 PM
Find dynamic camo program matches within ERDC,KDP-2056,22933,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Joshua Riley,712020:b37d4c48-1047-4e51-aa36-9f4735ff95c2,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,13/Apr/26 9:46 AM,23/Apr/26 5:43 PM,,23/Apr/26 5:43 PM,,0,,,,Kenai Defense,,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4f1710dc,,,,,0|i00bss:,KDP Sprint 32,,,,,,,,,,,,,,,,,,,,Done,23/Apr/26 5:43 PM
Look for Conferences related to dynamic camo and IR,KDP-2055,22932,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Joshua Riley,712020:b37d4c48-1047-4e51-aa36-9f4735ff95c2,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,13/Apr/26 9:45 AM,17/Apr/26 7:19 PM,,17/Apr/26 7:19 PM,,0,,,,Kenai Defense,,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@77fd5152,,,,,0|i00bsp:,KDP Sprint 32,,,,,,,,,,,,,,,,,,,,Done,17/Apr/26 7:19 PM
Draft disposal process for low concentration acid,KDP-2054,22931,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Kira Schulz,712020:1812938a-5123-4043-b2fa-7ca5353d364d,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,13/Apr/26 9:38 AM,16/Apr/26 5:04 PM,16/Apr/26 11:19 AM,16/Apr/26 5:04 PM,,0,,,,Kenai Defense,,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@70103dc0,,,,,0|i009jg:zsi,KDP Sprint 32,,,,,,,,,,,,,,,,,,,,Done,16/Apr/26 5:04 PM
Set-up CVD experiments (work with Fan),KDP-2053,22930,Task,In Progress,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,,Kira Schulz,712020:1812938a-5123-4043-b2fa-7ca5353d364d,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,13/Apr/26 9:36 AM,27/Apr/26 9:45 AM,16/Apr/26 10:57 AM,,,0,ongoing,,,Kenai Defense,,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@61ce3872,,,,,0|i009jh:,KDP Sprint 32,KDP Sprint 33,,,,,,,,,,,,,,,,21868,KDP-1919,ERDC D10: Improved carbon nanomaterial production and characterization (due 7/16/2026),In Progress,15/Apr/26 2:15 PM
Cut patterns for Tony,KDP-2052,22929,Task,In Progress,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,,Kira Schulz,712020:1812938a-5123-4043-b2fa-7ca5353d364d,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,13/Apr/26 9:36 AM,27/Apr/26 10:53 AM,,,,0,ongoing,,,Kenai Defense,,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@218e9f15,,,,,0|i009jd:,KDP Sprint 32,KDP Sprint 33,,,,,,,,,,,,,,,,23053,KDP-2080,IR Decoy - D1 - Reduced Scale Prototype Tarp Manufactured with no electrical controls,In Progress,13/Apr/26 3:42 PM
Complete CVD Testing according to schedule,KDP-2051,22928,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Fan Yang,712020:e1b59307-c67e-498d-ab47-8f321dbac8c9,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,13/Apr/26 9:34 AM,24/Apr/26 2:31 PM,,24/Apr/26 2:31 PM,,0,,,,Kenai Defense,,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3c643db7,,,,,0|i009ku:4r,KDP Sprint 32,,,,,,,,,,,,,,,,,21868,KDP-1919,ERDC D10: Improved carbon nanomaterial production and characterization (due 7/16/2026),Done,24/Apr/26 2:31 PM
🐢 Determine manufacturing process flow for composite development work,KDP-2050,22927,Task,In Progress,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,High,,Caleb Garnica,712020:925cddb1-7e5d-47d0-bbc8-76ea7a6d92b3,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,13/Apr/26 9:30 AM,27/Apr/26 10:40 AM,,,,0,,,,Kenai Defense,,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@17727599,,,,,0|i00b7w:,KDP Sprint 32,KDP Sprint 33,,,,,,,,,,,,,,,,15703,KDP-1144,ERDC D8: Produce Improved composite systems (Due 4/16/2026),In Progress,23/Apr/26 9:11 AM
🐢 Manufacture Carbon fiber composite using selected resin,KDP-2049,22926,Task,To Do,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,High,,Caleb Garnica,712020:925cddb1-7e5d-47d0-bbc8-76ea7a6d92b3,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,13/Apr/26 9:29 AM,27/Apr/26 10:40 AM,,,,0,,,,Kenai Defense,,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@798b8239,,,,,0|i00bpp:,KDP Sprint 32,KDP Sprint 33,,,,,,,,,,,,,,,,15703,KDP-1144,ERDC D8: Produce Improved composite systems (Due 4/16/2026),To Do,13/Apr/26 9:29 AM
Finish Laser Cutter Setup and Test Functionality,KDP-2048,22925,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Caleb Garnica,712020:925cddb1-7e5d-47d0-bbc8-76ea7a6d92b3,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,13/Apr/26 9:28 AM,27/Apr/26 8:44 AM,,27/Apr/26 8:44 AM,,0,,,,Kenai Defense,,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@ff7e8a3,,,,,0|i00ba3:,KDP Sprint 32,,,,,,,,,,,,,,,,,15703,KDP-1144,ERDC D8: Produce Improved composite systems (Due 4/16/2026),Done,27/Apr/26 8:44 AM
Connect Laser Cutter Controller,KDP-2047,22924,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Caleb Garnica,712020:925cddb1-7e5d-47d0-bbc8-76ea7a6d92b3,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,13/Apr/26 9:27 AM,20/Apr/26 10:17 AM,,20/Apr/26 10:17 AM,,0,,,,Caleb Garnica,Kenai Defense,712020:925cddb1-7e5d-47d0-bbc8-76ea7a6d92b3,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,,,,,,,,,16/Apr/26 1:21 PM;ug:808941e0-ca04-46e0-8e75-c96655b0e2e5;IMG_7187.jpeg;https://kenaidefense.atlassian.net/rest/api/3/attachment/content/12037,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5d27e017,,,,,0|i00b7x:,KDP Sprint 32,,,,,,,,,,,"16/Apr/26 1:21 PM;712020:925cddb1-7e5d-47d0-bbc8-76ea7a6d92b3;!IMG_7187.jpeg|thumbnail!

","16/Apr/26 1:22 PM;712020:925cddb1-7e5d-47d0-bbc8-76ea7a6d92b3;Control board installed, routing wires and then laser set up next.",,,,,15703,KDP-1144,ERDC D8: Produce Improved composite systems (Due 4/16/2026),Done,20/Apr/26 10:17 AM
🐢 Select Matrix Resin/Additives Materials for Composite Samples,KDP-2046,22923,Task,In Progress,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,High,,Caleb Garnica,712020:925cddb1-7e5d-47d0-bbc8-76ea7a6d92b3,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,Kenai Defense,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,13/Apr/26 9:25 AM,27/Apr/26 10:39 AM,,,,0,,,,Kenai Defense,,712020:0b0101c8-d576-4a85-9c6b-3dc9a85c1e68,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4d37c338,,,,,0|i009ml:ww,KDP Sprint 32,KDP Sprint 33,,,,,,,,,,,,,,,,15703,KDP-1144,ERDC D8: Produce Improved composite systems (Due 4/16/2026),In Progress,16/Apr/26 1:20 PM
AS9100 Meetings and Quality Policy Development,KDP-2044,22921,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,13/Apr/26 9:11 AM,22/Apr/26 1:15 PM,,22/Apr/26 1:15 PM,,0,,,,Jayden Zundel,,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@499ba01f,,,,,0|i00brk:,KDP Sprint 32,,,,,,,,,,,,,,,,,15839,KDP-1190,Business Development,Done,22/Apr/26 1:15 PM
"Dynamic Camo ""Sales Sheet""",KDP-2043,22920,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,13/Apr/26 9:10 AM,14/Apr/26 1:08 PM,,14/Apr/26 1:08 PM,,0,,,,Jayden Zundel,,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@74705f54,,,,,0|i00bsj:,KDP Sprint 32,,,,,,,,,,,,,,,,,16718,KDP-1345,Dynamic Camo,Done,14/Apr/26 1:08 PM
🐢 🐢 Make ERDCII equipment list purchases,KDP-2012,22793,Task,In Progress,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Highest,,Bob Dawson,712020:ff7d16f1-182a-464f-a0d4-7b84c4940d87,Bob Dawson,712020:ff7d16f1-182a-464f-a0d4-7b84c4940d87,Bob Dawson,712020:ff7d16f1-182a-464f-a0d4-7b84c4940d87,09/Apr/26 2:21 PM,27/Apr/26 9:45 AM,,,,0,carryover,,,Bob Dawson,,712020:ff7d16f1-182a-464f-a0d4-7b84c4940d87,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5b04c936,,,,,0|i00a5i:r,KDP Sprint 31,KDP Sprint 32,KDP Sprint 33,,,,,,,,,,,,,,,15412,KDP-1110,ERDC D6: Improved carbon nanomaterial coatings research approach identified (Due 1/6/26),In Progress,09/Apr/26 2:21 PM
🐢 Connect 'Phidgets' to CVD DAQ,KDP-2006,22659,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Kira Schulz,712020:1812938a-5123-4043-b2fa-7ca5353d364d,Kira Schulz,712020:1812938a-5123-4043-b2fa-7ca5353d364d,Kira Schulz,712020:1812938a-5123-4043-b2fa-7ca5353d364d,08/Apr/26 3:04 PM,15/Apr/26 11:24 AM,,15/Apr/26 11:24 AM,,0,carryover,,,Kira Schulz,,712020:1812938a-5123-4043-b2fa-7ca5353d364d,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@236bb127,,,,,0|i009jg:zr,KDP Sprint 31,KDP Sprint 32,,,,,,,,,,,,,,,,21868,KDP-1919,ERDC D10: Improved carbon nanomaterial production and characterization (due 7/16/2026),Done,15/Apr/26 11:24 AM
🐢 Take inventory of resins and add it to chemical inventory,KDP-2005,22626,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Kira Schulz,712020:1812938a-5123-4043-b2fa-7ca5353d364d,Kira Schulz,712020:1812938a-5123-4043-b2fa-7ca5353d364d,Kira Schulz,712020:1812938a-5123-4043-b2fa-7ca5353d364d,08/Apr/26 9:10 AM,27/Apr/26 9:29 AM,,27/Apr/26 9:29 AM,,0,carryover,,,Kira Schulz,,712020:1812938a-5123-4043-b2fa-7ca5353d364d,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@ba8779a,,,,,0|i009jg:zs9,KDP Sprint 31,KDP Sprint 32,,,,,,,,,,,,,,,,15704,KDP-1145,ERDC D9: Improved produced coatings (Due 5/21/2026),Done,27/Apr/26 9:29 AM
